date,repository,stars,forks,watchers,open_issues,language,views,unique_views,clones,unique_clones
2026-09-01,PG-APP-Core,1,0,0,0,Python,0,0,0,0
2026-09-01,PG-Airflow-DAGs,1,0,0,0,Python,0,0,1,1
2026-09-01,PG-Analytics,1,0,0,0,Python,1,1,8,6
2026-09-01,PG-Core,1,0,0,0,,0,0,0,0
2026-09-01,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-01,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-09-01,PG-Infrastructure,1,0,0,0,Makefile,0,0,0,0
2026-09-01,PG-Sentinel,1,0,0,0,,1,1,0,0
2026-09-01,PG-Shared-Lib,1,0,0,0,Python,0,0,1,1
2026-09-01,PG-Synapse,1,0,0,0,,0,0,0,0
2026-09-01,Platform-Genesis,3,0,0,0,Makefile,4,1,2,2
2026-09-02,PG-APP-Core,1,0,0,0,Python,0,0,1,1
2026-09-02,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-02,PG-Analytics,1,0,0,0,Python,0,0,1,1
2026-09-02,PG-Core,1,0,0,0,,0,0,0,0
2026-09-02,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-02,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-09-02,PG-Infrastructure,1,0,0,0,Makefile,0,0,1,1
2026-09-02,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-09-02,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-09-02,PG-Synapse,1,0,0,0,,0,0,0,0
2026-09-02,Platform-Genesis,3,0,0,0,Makefile,8,2,0,0
2026-09-03,PG-APP-Core,1,0,0,0,Python,0,0,0,0
2026-09-03,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-03,PG-Analytics,1,0,0,0,Python,0,0,5,3
2026-09-03,PG-Core,1,0,0,0,,0,0,0,0
2026-09-03,PG-Cortex,1,0,0,0,,0,0,1,1
2026-09-03,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-09-03,PG-Infrastructure,1,0,0,0,Makefile,0,0,0,0
2026-09-03,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-09-03,PG-Shared-Lib,1,0,0,0,Python,0,0,1,1
2026-09-03,PG-Synapse,1,0,0,0,,0,0,0,0
2026-09-03,Platform-Genesis,3,0,0,0,Makefile,1,1,0,0
2026-09-04,PG-APP-Core,1,0,0,0,Python,0,0,0,0
2026-09-04,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-04,PG-Analytics,1,0,0,0,Python,1,1,5,3
2026-09-04,PG-Core,1,0,0,0,,0,0,0,0
2026-09-04,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-04,PG-Edge-Container,1,0,0,0,Makefile,0,0,1,1
2026-09-04,PG-Infrastructure,1,0,0,0,Makefile,0,0,0,0
2026-09-04,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-09-04,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-09-04,PG-Synapse,1,0,0,0,,0,0,1,1
2026-09-04,Platform-Genesis,3,0,0,0,Makefile,13,4,0,0
2026-09-05,PG-APP-Core,1,0,0,0,Python,0,0,4,4
2026-09-05,PG-Airflow-DAGs,1,0,0,0,Python,0,0,2,2
2026-09-05,PG-Analytics,1,0,0,0,Python,0,0,5,3
2026-09-05,PG-Core,1,0,0,0,,0,0,2,2
2026-09-05,PG-Cortex,1,0,0,0,,0,0,2,2
2026-09-05,PG-Edge-Container,1,0,0,0,Makefile,0,0,2,2
2026-09-05,PG-Infrastructure,1,0,0,0,Makefile,0,0,4,4
2026-09-05,PG-Sentinel,1,0,0,0,,0,0,1,1
2026-09-05,PG-Shared-Lib,1,0,0,0,Python,0,0,3,3
2026-09-05,PG-Synapse,1,0,0,0,,0,0,2,2
2026-09-05,Platform-Genesis,3,0,0,0,Makefile,0,0,1,1
2026-09-06,PG-APP-Core,1,0,0,0,Python,0,0,1,1
2026-09-06,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-06,PG-Analytics,1,0,0,0,Python,1,1,5,3
2026-09-06,PG-Core,1,0,0,0,,0,0,0,0
2026-09-06,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-06,PG-Edge-Container,1,0,0,0,Makefile,0,0,1,1
2026-09-06,PG-Infrastructure,1,0,0,0,Makefile,0,0,7,7
2026-09-06,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-09-06,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-09-06,PG-Synapse,1,0,0,0,,0,0,0,0
2026-09-06,Platform-Genesis,3,0,0,0,Makefile,0,0,0,0
2026-09-07,PG-APP-Core,1,0,0,0,Python,0,0,0,0
2026-09-07,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-07,PG-Analytics,1,0,0,0,Python,0,0,5,3
2026-09-07,PG-Core,1,0,0,0,,0,0,2,2
2026-09-07,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-07,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-09-07,PG-Infrastructure,1,0,0,0,Makefile,0,0,7,7
2026-09-07,PG-Sentinel,1,0,0,0,,0,0,1,1
2026-09-07,PG-Shared-Lib,1,0,0,0,Python,0,0,1,1
2026-09-07,PG-Synapse,1,0,0,0,,0,0,1,1
2026-09-07,Platform-Genesis,3,0,0,0,Makefile,0,0,1,1
2026-09-08,PG-APP-Core,1,0,0,0,Python,0,0,0,0
2026-09-08,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-08,PG-Analytics,1,0,0,0,Python,1,1,6,4
2026-09-08,PG-Core,1,0,0,0,,0,0,0,0
2026-09-08,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-08,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-09-08,PG-Infrastructure,1,0,0,0,Makefile,0,0,0,0
2026-09-08,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-09-08,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-09-08,PG-Synapse,1,0,0,0,,0,0,1,1
2026-09-08,Platform-Genesis,3,0,0,0,Makefile,1,1,1,1
2026-09-09,PG-APP-Core,1,0,0,0,Python,0,0,0,0
2026-09-09,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-09-09,PG-Analytics,1,0,0,0,Python,0,0,4,2
2026-09-09,PG-Core,1,0,0,0,,0,0,0,0
2026-09-09,PG-Cortex,1,0,0,0,,0,0,0,0
2026-09-09,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-09-09,PG-Infrastructure,1,0,0,0,Makefile,0,0,0,0
2026-09-09,PG-Sentinel,1,0,0,0,,1,1,0,0
2026-09-09,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-09-09,PG-Synapse,1,0,0,0,,0,0,0,0
2026-09-09,Platform-Genesis,3,0,0,0,Makefile,2,1,0,0
